,name,date,operation type,amount
0,Marie Pugh,2020-05-08,income,107.51391256536655
1,Havin Cope,2020-04-19,clawback,147.31849536581186
2,Havin Cope,2020-01-07,opex,8.189629701502554
3,Havin Cope,2020-03-14,income,349.6872597358334
4,Marie Pugh,2020-03-16,opex,76.65563602118772
5,Marie Pugh,2020-03-05,clawback,41.566780353478954
6,Marie Pugh,2020-05-08,opex,74.02627316477319
7,Grady Kearney,2020-01-25,clawback,114.11024526319193
8,Marie Pugh,2020-03-10,income,39.378454169473585
9,Frazer Bone,2020-02-13,opex,67.73510501465296
10,Marie Pugh,2020-01-12,income,252.0954574170664
11,Frazer Bone,2020-03-21,income,2.6271613972314736
12,Frazer Bone,2020-03-27,income,67.66953990683206
13,Marie Pugh,2020-03-19,income,422.7548910760266
14,Frazer Bone,2020-09-05,opex,7.173981599566996
15,Havin Cope,2020-06-13,clawback,20.898023478249446
16,Iyla Tate,2020-04-26,clawback,361.0725950943486
17,Frazer Bone,2020-09-14,clawback,300.71439283405107
18,Grady Kearney,2020-03-12,income,549.4730590460055
19,Frazer Bone,2020-08-17,opex,149.25930691580226
20,Marie Pugh,2020-02-03,opex,60.93257588805828
21,Grady Kearney,2020-06-30,opex,81.45163336995003
22,Marie Pugh,2020-03-09,clawback,183.68890449523317
23,Frazer Bone,2020-03-14,income,171.75543902864976
24,Marie Pugh,2020-05-31,opex,43.4024761517844
25,Havin Cope,2020-01-13,opex,42.08472469187565
26,Iyla Tate,2020-05-21,opex,274.3156830906925
27,Havin Cope,2020-05-05,clawback,51.93871558067072
28,Havin Cope,2020-06-24,opex,23.29719861147243
29,Frazer Bone,2020-03-19,opex,14.87786486564921
30,Grady Kearney,2020-07-19,income,59.914253237800345
31,Frazer Bone,2020-05-27,opex,47.84169501471562
32,Havin Cope,2020-06-24,clawback,391.15951445209276
33,Frazer Bone,2020-09-23,opex,19.501726452082373
34,Marie Pugh,2020-02-12,income,122.15083739358593
35,Iyla Tate,2020-07-03,income,240.6855485702573
36,Frazer Bone,2020-03-05,income,131.9303393675873
37,Frazer Bone,2020-07-21,clawback,21.373874266072942
38,Marie Pugh,2020-04-06,income,336.9876079351436
39,Marie Pugh,2020-02-17,opex,39.33492144009505
40,Iyla Tate,2020-11-04,income,903.1637880968854
41,Havin Cope,2020-08-18,opex,1.6373250635859156
42,Frazer Bone,2020-02-15,clawback,107.3198490984955
43,Frazer Bone,2020-02-16,opex,51.912240456875026
44,Marie Pugh,2020-08-21,income,470.9742089041901
45,Iyla Tate,2020-09-09,opex,12.600652607519205
46,Frazer Bone,2020-04-02,clawback,9.053056106088718
47,Grady Kearney,2020-05-18,opex,14.608079568065916
48,Iyla Tate,2020-04-19,income,328.47653872863
49,Iyla Tate,2020-07-29,opex,65.07396211471593
50,Grady Kearney,2020-02-15,income,704.098074535061
51,Marie Pugh,2020-08-26,opex,14.69883504454561
52,Iyla Tate,2020-10-08,opex,4.322722705198089
53,Marie Pugh,2020-03-05,income,131.3027342599239
54,Havin Cope,2020-04-29,clawback,223.22165004511155
55,Marie Pugh,2020-05-08,opex,51.51695035914966
56,Havin Cope,2020-02-13,income,283.6992265142416
57,Havin Cope,2020-07-06,opex,17.317070975829928
58,Frazer Bone,2020-02-27,clawback,763.839113811953
59,Frazer Bone,2020-02-22,opex,6.390910567974273
60,Grady Kearney,2020-02-25,clawback,67.66629448687841
61,Havin Cope,2020-02-01,income,16.558113356078536
62,Frazer Bone,2020-06-24,income,136.88188606811244
63,Iyla Tate,2020-09-20,opex,6.615227320954991
64,Iyla Tate,2020-07-05,income,21.80413771846486
65,Frazer Bone,2020-02-27,opex,191.2972988940737
66,Marie Pugh,2020-08-22,clawback,80.96909070415158
67,Havin Cope,2020-07-09,income,541.4144545417092
68,Marie Pugh,2020-07-17,opex,5.038376653995961
69,Iyla Tate,2020-11-27,clawback,21.146531131747352
70,Grady Kearney,2020-06-08,income,85.93458062857701
71,Havin Cope,2020-05-05,clawback,32.71686048161001
72,Frazer Bone,2020-09-11,opex,33.28885030977578
73,Grady Kearney,2020-08-15,opex,86.33652047547893
74,Marie Pugh,2020-06-21,income,215.14266927824772
75,Marie Pugh,2020-05-15,opex,33.93493732507895
76,Havin Cope,2020-01-20,opex,109.85859344034694
77,Grady Kearney,2020-04-23,opex,40.924018882852934
78,Frazer Bone,2020-08-24,opex,91.04609628636247
79,Frazer Bone,2020-05-16,opex,3.0353637421970454
80,Frazer Bone,2020-09-20,clawback,233.04415250944453
81,Iyla Tate,2020-07-13,clawback,64.88749310861576
82,Iyla Tate,2020-09-16,clawback,5.803849441552267
83,Iyla Tate,2020-04-13,clawback,563.1582687128044
84,Marie Pugh,2020-01-10,clawback,562.8433501941531
85,Iyla Tate,2020-05-05,income,34.013739785204265
86,Havin Cope,2020-01-20,opex,97.61777837726684
87,Marie Pugh,2020-01-20,income,48.32657414417996
88,Frazer Bone,2020-05-09,opex,76.38974319118097
89,Grady Kearney,2020-01-03,opex,60.72202851072256
90,Marie Pugh,2020-01-06,clawback,145.27801955368565
91,Marie Pugh,2020-08-04,income,50.66252380860595
92,Havin Cope,2020-08-27,opex,90.31255460355312
93,Havin Cope,2020-08-08,opex,8.404722726120896
94,Grady Kearney,2020-01-06,opex,8.69397484569072
95,Grady Kearney,2020-01-19,clawback,19.920656188153224
96,Marie Pugh,2020-05-29,opex,27.332336534816797
97,Grady Kearney,2020-05-02,opex,187.69333953741548
98,Marie Pugh,2020-08-16,clawback,36.212750777271616
99,Frazer Bone,2020-03-29,income,86.87855057138313
100,Iyla Tate,2020-08-02,opex,49.59409960842605
101,Frazer Bone,2020-02-20,clawback,78.90652660150472
102,Havin Cope,2020-02-10,clawback,296.4754565932787
103,Iyla Tate,2020-04-16,clawback,136.5863439085676
104,Frazer Bone,2020-06-07,income,203.92727201059125
105,Iyla Tate,2020-06-03,opex,8.024033820881291
106,Iyla Tate,2020-11-19,opex,81.0086500423399
107,Havin Cope,2020-03-05,opex,2.499383985591088
108,Frazer Bone,2020-03-08,opex,33.12654041816946
109,Havin Cope,2020-08-09,income,319.40012121617303
110,Havin Cope,2020-02-26,clawback,70.61817174274057
111,Grady Kearney,2020-07-07,income,455.0553323932096
112,Havin Cope,2020-05-07,clawback,394.4002122623713
113,Marie Pugh,2020-01-22,opex,36.15915115101751
114,Marie Pugh,2020-06-02,opex,43.01067865634043
115,Marie Pugh,2020-04-14,clawback,62.42024247398682
116,Marie Pugh,2020-03-08,income,695.9106271231202
117,Grady Kearney,2020-02-06,clawback,4.42992566085967
118,Grady Kearney,2020-08-04,opex,62.66956720380406
119,Havin Cope,2020-01-26,opex,53.84141538646051
120,Iyla Tate,2020-07-10,opex,2.7374865738827534
121,Havin Cope,2020-07-30,opex,2.693385885003966
122,Grady Kearney,2020-01-11,income,162.46527629235362
123,Havin Cope,2020-02-07,opex,84.42768747670978
124,Iyla Tate,2020-09-15,income,63.31997397613842
125,Marie Pugh,2020-03-22,income,55.12934475797193
126,Grady Kearney,2020-02-03,clawback,229.83050785955595
127,Grady Kearney,2020-08-06,income,1.7038551885348594
128,Iyla Tate,2020-11-06,opex,126.21855782367662
129,Marie Pugh,2020-08-01,clawback,61.58076281775126
130,Iyla Tate,2020-10-16,income,56.05857870552483
131,Iyla Tate,2020-11-05,clawback,234.25493573331505
132,Marie Pugh,2020-07-05,clawback,55.3101593255624
133,Havin Cope,2020-04-09,opex,11.224937188974291
134,Iyla Tate,2020-08-10,opex,22.107579470325014
135,Frazer Bone,2020-06-16,opex,114.49080572607429
136,Frazer Bone,2020-06-12,income,84.73197512425868
137,Grady Kearney,2020-03-19,opex,42.118287973168506
138,Havin Cope,2020-04-15,opex,41.45652713350134
139,Marie Pugh,2020-08-22,opex,24.27883945535658
140,Marie Pugh,2020-02-01,income,366.56626950795896
141,Iyla Tate,2020-09-29,income,25.583316522366026
142,Iyla Tate,2020-06-29,income,52.233364718597194
143,Marie Pugh,2020-07-27,income,141.4274391739911
144,Havin Cope,2020-07-04,opex,28.071259797866134
145,Havin Cope,2020-03-17,income,288.7761218342657
146,Marie Pugh,2020-06-07,opex,19.255709503267106
147,Frazer Bone,2020-04-24,clawback,20.824038063110905
148,Havin Cope,2020-07-21,opex,37.6079806630707
149,Iyla Tate,2020-08-21,clawback,10.100159256473066
150,Grady Kearney,2020-05-10,clawback,156.22879230827638
151,Grady Kearney,2020-07-21,clawback,50.830132286535324
152,Iyla Tate,2020-06-11,opex,113.0703629224256
153,Marie Pugh,2020-04-14,income,891.8451228958812
154,Frazer Bone,2020-06-03,income,164.39634999552413
155,Grady Kearney,2020-05-28,clawback,89.1325028060935
156,Havin Cope,2020-01-28,income,276.4397857309476
157,Havin Cope,2020-06-05,income,9.958416599437042
158,Havin Cope,2020-07-16,income,211.01420436303994
159,Havin Cope,2020-02-13,income,562.6793691073082
160,Marie Pugh,2020-02-01,opex,41.94486326473938
161,Iyla Tate,2020-05-07,income,470.2850686544168
162,Frazer Bone,2020-08-26,opex,12.767346015029895
163,Havin Cope,2020-04-07,income,206.91665569263378
164,Iyla Tate,2020-10-24,opex,21.404815396590962
165,Frazer Bone,2020-06-19,opex,7.424210299057308
166,Iyla Tate,2020-06-21,clawback,324.62304818268655
167,Frazer Bone,2020-04-12,clawback,76.68995932109517
168,Frazer Bone,2020-08-26,income,265.9690788605151
169,Marie Pugh,2020-04-13,opex,49.84344881625373
170,Grady Kearney,2020-07-22,income,95.59298902477144
171,Havin Cope,2020-07-08,opex,29.704678486568504
172,Havin Cope,2020-06-08,income,642.3072497804326
173,Marie Pugh,2020-06-17,income,662.8207517008916
174,Marie Pugh,2020-07-06,income,1111.7668839180585
175,Iyla Tate,2020-08-11,income,305.214059934765
176,Havin Cope,2020-08-18,clawback,179.43319180042724
177,Grady Kearney,2020-04-02,income,360.3775478618757
178,Havin Cope,2020-01-12,income,48.05665287261214
179,Frazer Bone,2020-03-24,opex,53.994060700615556
180,Grady Kearney,2020-07-24,clawback,62.99624372694191
181,Havin Cope,2020-08-12,opex,28.944786737423488
182,Havin Cope,2020-01-09,income,235.631430655691
183,Grady Kearney,2020-03-18,clawback,267.96300583584343
184,Havin Cope,2020-08-21,opex,71.09936269442537
185,Iyla Tate,2020-05-03,opex,8.339065189987425
186,Frazer Bone,2020-02-25,income,118.86708825431941
187,Havin Cope,2020-01-31,income,36.02589514977951
188,Grady Kearney,2020-02-28,clawback,104.03739401192826
189,Iyla Tate,2020-10-14,income,105.79397406585153
190,Grady Kearney,2020-07-21,income,32.71691965804446
191,Frazer Bone,2020-04-11,income,282.7735192832341
192,Frazer Bone,2020-05-05,income,259.48024740069553
193,Frazer Bone,2020-07-24,income,661.2971028747577
194,Iyla Tate,2020-05-20,opex,1.2482412791518833
195,Frazer Bone,2020-06-09,opex,32.612089415989196
196,Havin Cope,2020-08-14,income,148.02093329795736
197,Marie Pugh,2020-04-30,income,390.1640573349977
198,Marie Pugh,2020-08-08,clawback,10.462207637612755
199,Frazer Bone,2020-07-31,opex,111.85300815116432
200,Havin Cope,2020-05-09,clawback,168.19515285839685
201,Grady Kearney,2020-05-17,opex,33.573020086822766
202,Iyla Tate,2020-06-05,income,142.0929410240812
203,Marie Pugh,2020-01-21,opex,76.05573983378518
204,Marie Pugh,2020-07-03,clawback,107.43222125444305
205,Havin Cope,2020-07-22,income,166.3889060281054
206,Iyla Tate,2020-07-10,clawback,15.179407330023848
207,Grady Kearney,2020-06-28,income,62.08128424289945
208,Iyla Tate,2020-09-08,income,257.5789505488803
209,Marie Pugh,2020-07-21,clawback,488.2252341538598
210,Marie Pugh,2020-05-24,opex,79.71859320118966
211,Grady Kearney,2020-02-01,clawback,352.04138454034967
212,Havin Cope,2020-08-03,opex,64.2699505097034
213,Frazer Bone,2020-03-11,clawback,397.66206978370576
214,Iyla Tate,2020-08-18,opex,104.4856159888925
215,Frazer Bone,2020-09-01,opex,243.88056213139123
216,Grady Kearney,2020-01-09,clawback,87.91040621454833
